Date,Rank,Stock,CMP,Volume,ReturnPct,Score,ExpectedReturn
08-07-2026 00:00,1,RELIANCE,1588,11235779,1.82,81.1,4.32
08-07-2026 00:00,2,TCS,3918,2612133,2.88,90.4,4.78
08-07-2026 00:00,3,INFY,3547,8315213,1.33,68.3,1.03
08-07-2026 00:00,4,HDFCBANK,4180,2631229,1.53,74.6,1.09
08-07-2026 00:00,5,ICICIBANK,2021,3501017,1.02,73.5,2.04
08-07-2026 00:00,6,SBIN,4020,2423181,2.63,93.1,2
08-07-2026 00:00,7,LT,643,4925661,2.16,74.2,3.03
08-07-2026 00:00,8,ITC,3094,3376016,0.6,92.3,2.18
08-07-2026 00:00,9,TITAN,2597,1791344,2.95,97.9,3.87
08-07-2026 00:00,10,AXISBANK,1118,10930374,3.05,68.6,4.75
08-07-2026 00:00,11,ASIANPAINT,2282,10003079,2.33,93.3,3.98
08-07-2026 00:00,12,BAJFINANCE,3389,10653318,0.81,90.4,2.89
08-07-2026 00:00,13,MARUTI,1355,768092,1.55,74.3,4.93
08-07-2026 00:00,14,SUNPHARMA,3443,10581735,2.26,75.9,1.81
08-07-2026 00:00,15,ULTRACEMCO,1752,5348730,2.68,71.3,4.54
08-07-2026 00:00,16,WIPRO,4240,593769,1.35,66,4.58
08-07-2026 00:00,17,HCLTECH,2187,4209938,1.05,95.5,2.69
08-07-2026 00:00,18,ADANIPORTS,3726,1254422,2.04,81.2,1.91
08-07-2026 00:00,19,NTPC,2664,5649090,3.21,81.8,2.88
08-07-2026 00:00,20,POWERGRID,4181,1395991,0.59,68,3.53
08-07-2026 00:00,21,TATAMOTORS,2038,8442002,2.6,73,1.44
08-07-2026 00:00,22,BEL,2036,6203307,2.7,82.9,3.88
08-07-2026 00:00,23,ONGC,867,1452819,2.65,88,4.27
08-07-2026 00:00,24,COALINDIA,1805,6128949,1.03,67.7,4
08-07-2026 00:00,25,BHARTIARTL,1477,4101995,2.79,66.2,1.9
08-07-2026 00:00,26,KOTAKBANK,3670,10911217,1.69,77.2,3.5
08-07-2026 00:00,27,JSWSTEEL,299,11046954,3.27,78.4,2.85
08-07-2026 00:00,28,TATASTEEL,2485,1627140,3.14,81,4.91
08-07-2026 00:00,29,INDUSINDBK,1201,775211,3.31,73.8,1.04
08-07-2026 00:00,30,TECHM,4088,1211248,2.32,96,4.28
08-07-2026 00:00,31,GRASIM,3534,10108996,2.74,72.2,4.53
08-07-2026 00:00,32,NESTLEIND,1062,9462096,1.73,93.8,3.16
08-07-2026 00:00,33,HINDUNILVR,3066,1080562,1.51,89.5,1.18
08-07-2026 00:00,34,CIPLA,4074,7607900,2.38,65.7,3.22
08-07-2026 00:00,35,EICHERMOT,3835,4262221,2.11,96.9,2.56
08-07-2026 00:00,36,DRREDDY,3964,2170714,0.62,74,3.56
08-07-2026 00:00,37,HEROMOTOCO,2211,1610768,2.4,74.1,4.17
08-07-2026 00:00,38,BAJAJFINSV,595,10412745,1.9,65.8,2.27
08-07-2026 00:00,39,ADANIENT,3339,11680192,2.55,86.8,4
08-07-2026 00:00,40,SHRIRAMFIN,1363,6072483,1.48,73.4,3.01
08-07-2026 00:00,41,TRENT,3466,3713120,3.08,71.9,2.75
08-07-2026 00:00,42,PIDILITIND,2881,1735663,0.52,81.9,2.49
08-07-2026 00:00,43,DIVISLAB,1332,11930038,0.52,95.3,3.13
08-07-2026 00:00,44,DMART,2788,4352002,1.4,80,3.04
08-07-2026 00:00,45,BPCL,2974,11488249,2.21,91.7,2.89
08-07-2026 00:00,46,APOLLOHOSP,3994,2416670,2.89,75.9,2.13
08-07-2026 00:00,47,BRITANNIA,4139,1051859,2.52,68.6,4.17
08-07-2026 00:00,48,SIEMENS,1849,11762978,2.74,75.8,1.58
08-07-2026 00:00,49,LODHA,3901,7162834,3.1,67.8,3.6
08-07-2026 00:00,50,DIXON,3535,11722221,2.83,83.1,2.76
